,date,orders,quintile
0,2018-09-21,75,2
1,2018-09-22,29,1
2,2018-09-23,0,0
3,2018-09-24,78,2
4,2018-09-25,81,2
5,2018-09-26,85,2
6,2018-09-27,101,3
7,2018-09-28,68,1
8,2018-09-29,27,1
9,2018-09-30,0,0
10,2018-10-01,68,1
11,2018-10-02,53,1
12,2018-10-03,67,1
13,2018-10-04,82,2
14,2018-10-05,76,2
15,2018-10-06,41,1
16,2018-10-07,0,0
17,2018-10-08,76,2
18,2018-10-09,87,2
19,2018-10-10,104,3
20,2018-10-11,88,2
21,2018-10-12,0,0
22,2018-10-13,0,0
23,2018-10-14,0,0
24,2018-10-15,87,2
25,2018-10-16,80,2
26,2018-10-17,73,2
27,2018-10-18,75,2
28,2018-10-19,85,2
29,2018-10-20,31,1
30,2018-10-21,0,0
31,2018-10-22,75,2
32,2018-10-23,68,1
33,2018-10-24,117,4
34,2018-10-25,85,2
35,2018-10-26,98,3
36,2018-10-27,46,1
37,2018-10-28,0,0
38,2018-10-29,73,2
39,2018-10-30,73,2
40,2018-10-31,99,3
41,2018-11-01,0,0
42,2018-11-02,52,1
43,2018-11-03,26,1
44,2018-11-04,0,0
45,2018-11-05,72,2
46,2018-11-06,94,2
47,2018-11-07,122,4
48,2018-11-08,108,3
49,2018-11-09,0,0
50,2018-11-10,40,1
51,2018-11-11,0,0
52,2018-11-12,112,3
53,2018-11-13,100,3
54,2018-11-14,102,3
55,2018-11-15,97,3
56,2018-11-16,108,3
57,2018-11-17,29,1
58,2018-11-18,0,0
59,2018-11-19,90,2
60,2018-11-20,82,2
61,2018-11-21,113,4
62,2018-11-22,101,3
63,2018-11-23,92,2
64,2018-11-24,55,1
65,2018-11-25,0,0
66,2018-11-26,115,4
67,2018-11-27,95,2
68,2018-11-28,111,3
69,2018-11-29,125,4
70,2018-11-30,93,2
71,2018-12-01,43,1
72,2018-12-02,0,0
73,2018-12-03,85,2
74,2018-12-04,84,2
75,2018-12-05,127,4
76,2018-12-06,28,1
77,2018-12-07,77,2
78,2018-12-08,25,1
79,2018-12-09,0,0
80,2018-12-10,73,2
81,2018-12-11,98,3
82,2018-12-12,107,3
83,2018-12-13,103,3
84,2018-12-14,94,2
85,2018-12-15,42,1
86,2018-12-16,0,0
87,2018-12-17,100,3
88,2018-12-18,89,2
89,2018-12-19,94,2
90,2018-12-20,44,1
91,2018-12-21,90,2
92,2018-12-22,31,1
93,2018-12-23,0,0
94,2018-12-24,22,1
95,2018-12-25,0,0
96,2018-12-26,69,2
97,2018-12-27,68,1
98,2018-12-28,64,1
99,2018-12-29,26,1
100,2018-12-30,0,0
101,2018-12-31,19,0
102,2019-01-01,0,0
103,2019-01-02,58,1
104,2019-01-03,69,2
105,2019-01-04,64,1
106,2019-01-05,17,0
107,2019-01-06,0,0
108,2019-01-07,0,0
109,2019-01-08,81,2
110,2019-01-09,80,2
111,2019-01-10,103,3
112,2019-01-11,110,3
113,2019-01-12,47,1
114,2019-01-13,0,0
115,2019-01-14,97,3
116,2019-01-15,98,3
117,2019-01-16,126,4
118,2019-01-17,107,3
119,2019-01-18,131,4
120,2019-01-19,49,1
121,2019-01-20,0,0
122,2019-01-21,107,3
123,2019-01-22,95,2
124,2019-01-23,122,4
125,2019-01-24,121,4
126,2019-01-25,116,4
127,2019-01-26,31,1
128,2019-01-27,0,0
129,2019-01-28,112,3
130,2019-01-29,105,3
131,2019-01-30,118,4
132,2019-01-31,128,4
133,2019-02-01,112,3
134,2019-02-02,28,1
135,2019-02-03,9,0
136,2019-02-04,117,4
137,2019-02-05,92,2
138,2019-02-06,141,4
139,2019-02-07,123,4
140,2019-02-08,130,4
141,2019-02-09,46,1
142,2019-02-10,0,0
143,2019-02-11,133,4
144,2019-02-12,110,3
145,2019-02-13,146,4
146,2019-02-14,150,4
147,2019-02-15,104,3
148,2019-02-16,58,1
149,2019-02-17,0,0
150,2019-02-18,132,4
151,2019-02-19,105,3
152,2019-02-20,169,4
153,2019-02-21,107,3
154,2019-02-22,127,4
155,2019-02-23,53,1
156,2019-02-24,0,0
157,2019-02-25,102,3
158,2019-02-26,90,2
159,2019-02-27,129,4
160,2019-02-28,131,4
161,2019-03-01,127,4
162,2019-03-02,49,1
163,2019-03-03,0,0
164,2019-03-04,111,3
165,2019-03-05,127,4
166,2019-03-06,113,4
167,2019-03-07,139,4
168,2019-03-08,99,3
169,2019-03-09,41,1
170,2019-03-10,0,0
171,2019-03-11,106,3
172,2019-03-12,108,3
173,2019-03-13,135,4
174,2019-03-14,128,4
175,2019-03-15,114,4
176,2019-03-16,44,1
177,2019-03-17,0,0
178,2019-03-18,130,4
179,2019-03-19,82,2
180,2019-03-20,113,4
181,2019-03-21,112,3
182,2019-03-22,114,4
183,2019-03-23,46,1
184,2019-03-24,0,0
185,2019-03-25,94,2
186,2019-03-26,109,3
187,2019-03-27,104,3
188,2019-03-28,100,3
189,2019-03-29,102,3
190,2019-03-30,40,1
191,2019-03-31,0,0
192,2019-04-01,117,4
193,2019-04-02,122,4
194,2019-04-03,114,4
195,2019-04-04,125,4
196,2019-04-05,134,4
197,2019-04-06,64,1
198,2019-04-07,0,0
199,2019-04-08,103,3
200,2019-04-09,115,4
201,2019-04-10,141,4
202,2019-04-11,134,4
203,2019-04-12,116,4
204,2019-04-13,25,1
205,2019-04-14,8,0
206,2019-04-15,87,2
207,2019-04-16,84,2
208,2019-04-17,39,1
209,2019-04-18,0,0
210,2019-04-19,0,0
211,2019-04-20,0,0
212,2019-04-21,0,0
213,2019-04-22,109,3
214,2019-04-23,109,3
215,2019-04-24,122,4
216,2019-04-25,126,4
217,2019-04-26,129,4
218,2019-04-27,65,1
219,2019-04-28,1,0
220,2019-04-29,40,1
